order_date,return_customers,return_customers_actableai,max_return_customers_actableai,min_return_customer_actableai,return_customer_tableau,max_return_customer_tableau,min_return_customer_tableau,new_customers,new_customers_actableai,max_new_customers_actableai,min_new_customers_actableai,new_customers_tableau,max_new_customers_tableau,min_new_customers_tableau
9/27/2008,,,,,,,,1,1,1,1,1,1,1
9/28/2008,,,,,,,,2,2,2,2,2,2,2
9/29/2008,,,,,,,,1,1,1,1,1,1,1
9/30/2008,,,,,,,,3,3,3,3,3,3,3
10/2/2008,,,,,,,,2,2,2,2,2,2,2
10/3/2008,2,2,2,2,2,2,2,1,1,1,1,1,1,1
10/4/2008,,,,,,,,2,2,2,2,2,2,2
10/5/2008,3,3,3,3,3,3,3,,,,,,,
10/6/2008,,,,,,,,1,1,1,1,1,1,1
10/7/2008,,,,,,,,5,5,5,5,5,5,5
10/8/2008,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10/9/2008,1,1,1,1,1,1,1,3,3,3,3,3,3,3
10/10/2008,2,2,2,2,2,2,2,1,1,1,1,1,1,1
10/11/2008,,,,,,,,2,2,2,2,2,2,2
10/12/2008,,,,,,,,1,1,1,1,1,1,1
10/13/2008,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10/15/2008,1,1,1,1,1,1,1,4,4,4,4,4,4,4
10/16/2008,1,1,1,1,1,1,1,2,2,2,2,2,2,2
10/17/2008,,,,,,,,4,4,4,4,4,4,4
10/18/2008,,,,,,,,1,1,1,1,1,1,1
10/19/2008,1,1,1,1,1,1,1,2,2,2,2,2,2,2
10/20/2008,1,1,1,1,1,1,1,4,4,4,4,4,4,4
10/22/2008,,,,,,,,4,4,4,4,4,4,4
10/23/2008,,,,,,,,2,2,2,2,2,2,2
10/24/2008,1,1,1,1,1,1,1,3,3,3,3,3,3,3
10/25/2008,2,2,2,2,2,2,2,1,1,1,1,1,1,1
10/27/2008,,,,,,,,2,2,2,2,2,2,2
10/28/2008,,,,,,,,3,3,3,3,3,3,3
10/29/2008,,,,,,,,4,4,4,4,4,4,4
10/31/2008,,,,,,,,1,1,1,1,1,1,1
11/1/2008,,,,,,,,1,1,1,1,1,1,1
11/2/2008,,,,,,,,1,1,1,1,1,1,1
11/3/2008,,,,,,,,1,1,1,1,1,1,1
11/4/2008,,,,,,,,2,2,2,2,2,2,2
11/5/2008,,,,,,,,1,1,1,1,1,1,1
11/6/2008,,,,,,,,1,1,1,1,1,1,1
11/7/2008,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/9/2008,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/10/2008,,,,,,,,2,2,2,2,2,2,2
11/11/2008,1,1,1,1,1,1,1,5,5,5,5,5,5,5
11/12/2008,,,,,,,,1,1,1,1,1,1,1
11/13/2008,1,1,1,1,1,1,1,2,2,2,2,2,2,2
11/14/2008,,,,,,,,2,2,2,2,2,2,2
11/15/2008,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/16/2008,1,1,1,1,1,1,1,,,,,,,
11/17/2008,,,,,,,,1,1,1,1,1,1,1
11/18/2008,1,1,1,1,1,1,1,4,4,4,4,4,4,4
11/19/2008,1,1,1,1,1,1,1,4,4,4,4,4,4,4
11/20/2008,1,1,1,1,1,1,1,4,4,4,4,4,4,4
11/21/2008,,,,,,,,2,2,2,2,2,2,2
11/22/2008,,,,,,,,1,1,1,1,1,1,1
11/23/2008,,,,,,,,3,3,3,3,3,3,3
11/24/2008,,,,,,,,1,1,1,1,1,1,1
11/25/2008,1,1,1,1,1,1,1,,,,,,,
11/26/2008,,,,,,,,2,2,2,2,2,2,2
11/27/2008,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11/28/2008,,,,,,,,3,3,3,3,3,3,3
11/29/2008,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/30/2008,2,2,2,2,2,2,2,2,2,2,2,2,2,2
12/1/2008,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/2/2008,2,2,2,2,2,2,2,1,1,1,1,1,1,1
12/3/2008,,,,,,,,1,1,1,1,1,1,1
12/5/2008,,,,,,,,1,1,1,1,1,1,1
12/6/2008,,,,,,,,1,1,1,1,1,1,1
12/7/2008,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/8/2008,,,,,,,,1,1,1,1,1,1,1
12/9/2008,1,1,1,1,1,1,1,5,5,5,5,5,5,5
12/10/2008,1,1,1,1,1,1,1,,,,,,,
12/11/2008,,,,,,,,1,1,1,1,1,1,1
12/12/2008,,,,,,,,1,1,1,1,1,1,1
12/13/2008,,,,,,,,2,2,2,2,2,2,2
12/14/2008,,,,,,,,2,2,2,2,2,2,2
12/16/2008,,,,,,,,1,1,1,1,1,1,1
12/17/2008,,,,,,,,2,2,2,2,2,2,2
12/18/2008,,,,,,,,2,2,2,2,2,2,2
12/19/2008,3,3,3,3,3,3,3,4,4,4,4,4,4,4
12/21/2008,,,,,,,,1,1,1,1,1,1,1
12/22/2008,,,,,,,,1,1,1,1,1,1,1
12/23/2008,,,,,,,,1,1,1,1,1,1,1
12/25/2008,,,,,,,,1,1,1,1,1,1,1
12/26/2008,,,,,,,,1,1,1,1,1,1,1
12/27/2008,,,,,,,,1,1,1,1,1,1,1
12/29/2008,1,1,1,1,1,1,1,,,,,,,
12/31/2008,,,,,,,,1,1,1,1,1,1,1
1/1/2009,1,1,1,1,1,1,1,,,,,,,
1/2/2009,1,1,1,1,1,1,1,2,2,2,2,2,2,2
1/3/2009,1,1,1,1,1,1,1,,,,,,,
1/4/2009,1,1,1,1,1,1,1,,,,,,,
1/5/2009,,,,,,,,1,1,1,1,1,1,1
1/7/2009,,,,,,,,1,1,1,1,1,1,1
1/8/2009,3,3,3,3,3,3,3,1,1,1,1,1,1,1
1/9/2009,,,,,,,,1,1,1,1,1,1,1
1/11/2009,,,,,,,,2,2,2,2,2,2,2
1/12/2009,,,,,,,,2,2,2,2,2,2,2
1/13/2009,,,,,,,,4,4,4,4,4,4,4
1/14/2009,,,,,,,,5,5,5,5,5,5,5
1/15/2009,,,,,,,,1,1,1,1,1,1,1
1/16/2009,,,,,,,,2,2,2,2,2,2,2
1/18/2009,,,,,,,,1,1,1,1,1,1,1
1/19/2009,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/20/2009,,,,,,,,5,5,5,5,5,5,5
1/21/2009,,,,,,,,1,1,1,1,1,1,1
1/22/2009,,,,,,,,1,1,1,1,1,1,1
1/23/2009,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/24/2009,,,,,,,,1,1,1,1,1,1,1
1/25/2009,,,,,,,,1,1,1,1,1,1,1
1/26/2009,,,,,,,,1,1,1,1,1,1,1
1/27/2009,,,,,,,,2,2,2,2,2,2,2
1/29/2009,,,,,,,,2,2,2,2,2,2,2
1/30/2009,,,,,,,,3,3,3,3,3,3,3
1/31/2009,,,,,,,,3,3,3,3,3,3,3
2/1/2009,,,,,,,,1,1,1,1,1,1,1
2/2/2009,,,,,,,,2,2,2,2,2,2,2
2/3/2009,,,,,,,,2,2,2,2,2,2,2
2/4/2009,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2/5/2009,,,,,,,,4,4,4,4,4,4,4
2/6/2009,,,,,,,,3,3,3,3,3,3,3
2/8/2009,1,1,1,1,1,1,1,2,2,2,2,2,2,2
2/9/2009,,,,,,,,4,4,4,4,4,4,4
2/10/2009,,,,,,,,5,5,5,5,5,5,5
2/11/2009,,,,,,,,1,1,1,1,1,1,1
2/12/2009,,,,,,,,3,3,3,3,3,3,3
2/13/2009,,,,,,,,1,1,1,1,1,1,1
2/15/2009,3,3,3,3,3,3,3,1,1,1,1,1,1,1
2/16/2009,,,,,,,,1,1,1,1,1,1,1
2/17/2009,,,,,,,,1,1,1,1,1,1,1
2/18/2009,,,,,,,,3,3,3,3,3,3,3
2/19/2009,,,,,,,,3,3,3,3,3,3,3
2/20/2009,,,,,,,,2,2,2,2,2,2,2
2/21/2009,1,1,1,1,1,1,1,2,2,2,2,2,2,2
2/22/2009,,,,,,,,2,2,2,2,2,2,2
2/23/2009,,,,,,,,4,4,4,4,4,4,4
2/24/2009,,,,,,,,2,2,2,2,2,2,2
2/25/2009,,,,,,,,4,4,4,4,4,4,4
2/26/2009,,,,,,,,1,1,1,1,1,1,1
2/27/2009,,,,,,,,1,1,1,1,1,1,1
2/28/2009,,,,,,,,1,1,1,1,1,1,1
3/1/2009,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3/2/2009,,,,,,,,4,4,4,4,4,4,4
3/3/2009,1,1,1,1,1,1,1,3,3,3,3,3,3,3
3/4/2009,,,,,,,,2,2,2,2,2,2,2
3/5/2009,,,,,,,,4,4,4,4,4,4,4
3/6/2009,,,,,,,,2,2,2,2,2,2,2
3/7/2009,,,,,,,,3,3,3,3,3,3,3
3/8/2009,,,,,,,,3,3,3,3,3,3,3
3/9/2009,1,1,1,1,1,1,1,,,,,,,
3/12/2009,,,,,,,,3,3,3,3,3,3,3
3/13/2009,,,,,,,,3,3,3,3,3,3,3
3/14/2009,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3/15/2009,2,2,2,2,2,2,2,1,1,1,1,1,1,1
3/16/2009,,,,,,,,3,3,3,3,3,3,3
3/18/2009,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3/19/2009,,,,,,,,1,1,1,1,1,1,1
3/20/2009,,,,,,,,2,2,2,2,2,2,2
3/23/2009,,,,,,,,2,2,2,2,2,2,2
3/25/2009,,,,,,,,1,1,1,1,1,1,1
3/27/2009,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3/28/2009,,,,,,,,1,1,1,1,1,1,1
3/29/2009,,,,,,,,1,1,1,1,1,1,1
3/30/2009,,,,,,,,1,1,1,1,1,1,1
3/31/2009,,,,,,,,1,1,1,1,1,1,1
4/1/2009,2,2,2,2,2,2,2,,,,,,,
4/3/2009,2,2,2,2,2,2,2,,,,,,,
4/4/2009,,,,,,,,3,3,3,3,3,3,3
4/5/2009,1,1,1,1,1,1,1,2,2,2,2,2,2,2
4/6/2009,2,2,2,2,2,2,2,1,1,1,1,1,1,1
4/7/2009,2,2,2,2,2,2,2,6,6,6,6,6,6,6
4/8/2009,1,1,1,1,1,1,1,2,2,2,2,2,2,2
4/9/2009,,,,,,,,2,2,2,2,2,2,2
4/10/2009,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/11/2009,,,,,,,,4,4,4,4,4,4,4
4/12/2009,,,,,,,,2,2,2,2,2,2,2
4/13/2009,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/14/2009,,,,,,,,2,2,2,2,2,2,2
4/16/2009,1,1,1,1,1,1,1,2,2,2,2,2,2,2
4/17/2009,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/18/2009,,,,,,,,2,2,2,2,2,2,2
4/20/2009,2,2,2,2,2,2,2,3,3,3,3,3,3,3
4/22/2009,,,,,,,,3,3,3,3,3,3,3
4/23/2009,1,1,1,1,1,1,1,3,3,3,3,3,3,3
4/24/2009,2,2,2,2,2,2,2,,,,,,,
4/25/2009,,,,,,,,2,2,2,2,2,2,2
4/26/2009,,,,,,,,1,1,1,1,1,1,1
4/27/2009,,,,,,,,1,1,1,1,1,1,1
4/28/2009,,,,,,,,2,2,2,2,2,2,2
4/29/2009,,,,,,,,1,1,1,1,1,1,1
4/30/2009,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/1/2009,,,,,,,,2,2,2,2,2,2,2
5/2/2009,,,,,,,,1,1,1,1,1,1,1
5/4/2009,,,,,,,,1,1,1,1,1,1,1
5/5/2009,1,1,1,1,1,1,1,3,3,3,3,3,3,3
5/6/2009,,,,,,,,1,1,1,1,1,1,1
5/7/2009,,,,,,,,2,2,2,2,2,2,2
5/8/2009,1,1,1,1,1,1,1,2,2,2,2,2,2,2
5/9/2009,,,,,,,,1,1,1,1,1,1,1
5/10/2009,,,,,,,,5,5,5,5,5,5,5
5/11/2009,,,,,,,,2,2,2,2,2,2,2
5/12/2009,,,,,,,,1,1,1,1,1,1,1
5/13/2009,,,,,,,,1,1,1,1,1,1,1
5/14/2009,,,,,,,,2,2,2,2,2,2,2
5/15/2009,,,,,,,,2,2,2,2,2,2,2
5/16/2009,,,,,,,,5,5,5,5,5,5,5
5/17/2009,,,,,,,,1,1,1,1,1,1,1
5/18/2009,1,1,1,1,1,1,1,4,4,4,4,4,4,4
5/19/2009,1,1,1,1,1,1,1,2,2,2,2,2,2,2
5/20/2009,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5/21/2009,1,1,1,1,1,1,1,3,3,3,3,3,3,3
5/22/2009,1,1,1,1,1,1,1,,,,,,,
5/23/2009,,,,,,,,1,1,1,1,1,1,1
5/24/2009,,,,,,,,1,1,1,1,1,1,1
5/25/2009,,,,,,,,1,1,1,1,1,1,1
5/28/2009,,,,,,,,2,2,2,2,2,2,2
5/30/2009,,,,,,,,3,3,3,3,3,3,3
5/31/2009,,,,,,,,3,3,3,3,3,3,3
6/1/2009,,,,,,,,1,1,1,1,1,1,1
6/2/2009,,,,,,,,1,1,1,1,1,1,1
6/3/2009,1,1,1,1,1,1,1,2,2,2,2,2,2,2
6/5/2009,,,,,,,,1,1,1,1,1,1,1
6/6/2009,,,,,,,,3,3,3,3,3,3,3
6/7/2009,1,1,1,1,1,1,1,3,3,3,3,3,3,3
6/8/2009,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6/9/2009,,,,,,,,3,3,3,3,3,3,3
6/10/2009,1,1,1,1,1,1,1,,,,,,,
6/11/2009,1,1,1,1,1,1,1,4,4,4,4,4,4,4
6/12/2009,1,1,1,1,1,1,1,3,3,3,3,3,3,3
6/14/2009,,,,,,,,1,1,1,1,1,1,1
6/17/2009,,,,,,,,1,1,1,1,1,1,1
6/18/2009,,,,,,,,1,1,1,1,1,1,1
6/19/2009,2,2,2,2,2,2,2,1,1,1,1,1,1,1
6/20/2009,,,,,,,,1,1,1,1,1,1,1
6/21/2009,,,,,,,,2,2,2,2,2,2,2
6/22/2009,,,,,,,,3,3,3,3,3,3,3
6/23/2009,1,1,1,1,1,1,1,,,,,,,
6/24/2009,1,1,1,1,1,1,1,,,,,,,
6/25/2009,,,,,,,,1,1,1,1,1,1,1
7/2/2009,,,,,,,,3,3,3,3,3,3,3
7/26/2009,,,,,,,,2,2,2,2,2,2,2
7/27/2009,1,1,1,1,1,1,1,3,3,3,3,3,3,3
7/28/2009,,,,,,,,1,1,1,1,1,1,1
7/29/2009,,,,,,,,2,2,2,2,2,2,2
7/30/2009,,,,,,,,1,1,1,1,1,1,1
7/31/2009,,,,,,,,5,5,5,5,5,5,5
8/1/2009,,,,,,,,2,2,2,2,2,2,2
8/2/2009,,,,,,,,2,2,2,2,2,2,2
8/3/2009,,,,,,,,4,4,4,4,4,4,4
8/4/2009,1,1,1,1,1,1,1,5,5,5,5,5,5,5
8/5/2009,1,1,1,1,1,1,1,4,4,4,4,4,4,4
8/6/2009,1,1,1,1,1,1,1,3,3,3,3,3,3,3
8/7/2009,1,1,1,1,1,1,1,6,6,6,6,6,6,6
8/8/2009,1,1,1,1,1,1,1,3,3,3,3,3,3,3
8/9/2009,1,1,1,1,1,1,1,2,2,2,2,2,2,2
8/10/2009,,,,,,,,2,2,2,2,2,2,2
8/11/2009,,,,,,,,8,8,8,8,8,8,8
8/12/2009,2,2,2,2,2,2,2,9,9,9,9,9,9,9
8/13/2009,,,,,,,,6,6,6,6,6,6,6
8/14/2009,,,,,,,,5,5,5,5,5,5,5
8/15/2009,,,,,,,,2,2,2,2,2,2,2
8/17/2009,1,1,1,1,1,1,1,9,9,9,9,9,9,9
8/18/2009,2,2,2,2,2,2,2,3,3,3,3,3,3,3
8/19/2009,3,3,3,3,3,3,3,1,1,1,1,1,1,1
8/20/2009,2,2,2,2,2,2,2,4,4,4,4,4,4,4
8/21/2009,1,1,1,1,1,1,1,5,5,5,5,5,5,5
8/22/2009,,,,,,,,4,4,4,4,4,4,4
8/23/2009,,,,,,,,4,4,4,4,4,4,4
8/24/2009,,,,,,,,3,3,3,3,3,3,3
8/25/2009,1,1,1,1,1,1,1,9,9,9,9,9,9,9
8/26/2009,,,,,,,,8,8,8,8,8,8,8
8/27/2009,1,1,1,1,1,1,1,5,5,5,5,5,5,5
8/28/2009,,,,,,,,5,5,5,5,5,5,5
8/29/2009,,,,,,,,1,1,1,1,1,1,1
8/30/2009,,,,,,,,5,5,5,5,5,5,5
8/31/2009,1,1,1,1,1,1,1,4,4,4,4,4,4,4
9/1/2009,1,1,1,1,1,1,1,3,3,3,3,3,3,3
9/2/2009,1,1,1,1,1,1,1,5,5,5,5,5,5,5
9/3/2009,2,2,2,2,2,2,2,4,4,4,4,4,4,4
